0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:11:59 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:11:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:01 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:54 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:54 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:56 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:56 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:59 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:12:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:05 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:07 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:08 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11871
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:17 +0700] "GET /CapstoneProject/stepremove?idStep=31 HTTP/1.1" 200 10530
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:47 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:49 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:49 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:50 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:50 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:53 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:53 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:55 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:57 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10681
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:15:57 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:55 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:58 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:58 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:59 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10681
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:25:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:49 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:49 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:52 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:52 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:54 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10811
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:26:54 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:29:47 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8283
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:41 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:41 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:47 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:49 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 12031
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:36:49 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:37:14 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8283
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:38:08 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:38:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:38:14 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8283
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:39:27 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 14470
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:39:27 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:39:35 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8046
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:28 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:30 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:32 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 14470
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:32 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:42 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 15683
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:40:42 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:41:06 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 17245
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:41:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:41:30 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 18894
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:41:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:01 +0700] "GET /CapstoneProject/stepremove?idStep=32 HTTP/1.1" 200 16139
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:05 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:07 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:08 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 17953
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:23 +0700] "GET /CapstoneProject/stepremove?idStep=33 HTTP/1.1" 200 15004
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:42:23 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:10 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:15 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:17 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 16607
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:21 +0700] "GET /CapstoneProject/stepremove?idStep=34 HTTP/1.1" 200 15255
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:43:21 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:43 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:43 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:45 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:47 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 15255
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:28:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:17 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:19 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:18:36:19 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
