0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:22:39 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8131
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:22:54 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:22:56 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:26:40 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:26:42 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:26:45 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:26:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:26:56 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:27:07 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:27:09 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:32:05 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:35:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9193
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:36:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:37:27 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:37:30 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:37:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9245
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:37:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9266
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:38:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9266
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:38:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9266
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:38:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9245
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:38:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9245
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:38:46 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9245
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:41:22 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:43:01 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:43:17 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:43:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:44:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:44:31 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9337
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:44:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9357
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:45:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9372
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:45:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9373
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:45:44 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:46:10 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:46:17 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:46:39 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:46:45 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:46:50 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9373
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:47:29 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9396
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:48:02 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9393
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:48:12 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:51:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:01 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:03 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9385
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:28 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:30 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:35 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9385
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9385
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:55 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:52:56 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:53:18 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9385
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:53:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:53:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:54:00 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:54:04 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:54:07 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:54:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:54:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9420
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:55:05 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9420
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:55:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 10912
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:55:37 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:06:13 +0700] "GET /CapstoneProject/information HTTP/1.1" 200 8795
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:06:13 +0700] "GET /CapstoneProject/resources/css/style-customer-information.css HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:09:26 +0700] "GET /CapstoneProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:09:26 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 10918
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:10:28 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6417
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:10:41 +0700] "GET /CapstoneProject/information HTTP/1.1" 200 8795
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:11:09 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:11:09 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:11:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:11:45 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:11:50 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:00 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:16 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:18 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:50 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:12:56 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:13:03 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:13:09 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:13:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:13:17 +0700] "GET /CapstoneProject/ HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Apr/2023:11:13:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2208
